date,cash,transaction_cost,market_value,total_value
2025-05-06,1006440.0,260.0,0.0,1006440.0
2025-05-07,1014480.0,260.0,0.0,1014480.0
2025-05-08,1009920.0,260.0,0.0,1009920.0
2025-05-09,1011260.0,260.0,0.0,1011260.0
2025-05-12,1002800.0,260.0,0.0,1002800.0
2025-05-13,1006440.0,260.0,0.0,1006440.0
2025-05-14,996480.0,260.0,0.0,996480.0
2025-05-15,1000920.0,260.0,0.0,1000920.0
2025-05-16,1004660.0,260.0,0.0,1004660.0
2025-05-19,1006100.0,260.0,0.0,1006100.0
2025-05-20,1007040.0,260.0,0.0,1007040.0
2025-05-21,1007780.0,260.0,0.0,1007780.0
2025-05-22,1007020.0,260.0,0.0,1007020.0
2025-05-23,1007660.0,260.0,0.0,1007660.0
2025-05-26,1008300.0,260.0,0.0,1008300.0
2025-05-27,1008640.0,260.0,0.0,1008640.0
2025-05-28,1010480.0,260.0,0.0,1010480.0
2025-05-29,1007120.0,260.0,0.0,1007120.0
2025-05-30,1006060.0,260.0,0.0,1006060.0
2025-06-03,1013800.0,260.0,0.0,1013800.0
